rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
1.0,97.95918367346938,70.0,Moderate,AKUMS DRUGS&PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,AKUMS DRUGS&PHARMA,VIETNAM,HOSPITAL,146.2,146.2,0.0,19,17.2,2.137,78.5,31.6,Medium,Medium,GROWTH,Strong growth (146%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-53.1%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
2.0,97.95918367346938,70.0,Moderate,DANAPHA (TW5)_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DANAPHA (TW5),VIETNAM,HOSPITAL,23.2,23.2,0.4,14,31.7,0.139,64.1,29.2,Medium,Medium,GROWTH,Stable-to-moderate growth (23%) | Niche market ($0.4M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
3.0,97.95918367346938,70.0,High Potential,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,500.0,500.0,0.1,14,31.7,3.308,54.6,30.9,High,Medium,MATURE,Strong growth (500%) | Niche market ($0.1M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
4.0,97.95918367346938,70.0,Moderate,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,HOSPITAL,500.0,500.0,0.1,7,12.3,11.969,54.4,27.9,High,Medium,MATURE,Strong growth (500%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
5.0,97.95918367346938,70.0,Avoid,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,-15.0,-15.0,1.4,7,21.1,0.115,65.8,31.0,Medium,Medium,MATURE,Declining demand (-15%) | Niche market ($1.4M) | Share position (21.1%) | Competitive market (7 competitors),None identified,MONITOR
6.0,97.95918367346938,70.0,Avoid,SUN PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,SUN PHARMA,VIETNAM,HOSPITAL,-12.2,-12.2,0.4,7,21.1,0.736,75.2,31.5,Medium,Medium,GROWTH,Declining demand (-12%) | Niche market ($0.4M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
7.0,97.95918367346938,70.0,Avoid,SUN PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,SUN PHARMA,VIETNAM,HOSPITAL,-59.5,-59.5,0.5,7,21.1,0.329,78.4,31.6,Medium,Medium,GROWTH,Declining demand (-59%) | Niche market ($0.5M) | Share position (21.1%) | Competitive market (7 competitors),Market decline: losing 59% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
8.0,97.95918367346938,70.0,Moderate,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,RETAIL,500.0,500.0,0.0,7,21.1,3.652,77.8,30.4,Medium,Medium,GROWTH,Strong growth (500%) | Niche market ($0.0M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
9.0,97.95918367346938,70.0,Avoid,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,RETAIL,0.0,0.0,0.0,7,21.1,0.0,64.6,27.5,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (21.1%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
10.0,95.40816326530613,69.98624882031501,Avoid,SAVIPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,SAVIPHARM,VIETNAM,HOSPITAL,0.0,0.0,0.0,19,17.2,0.0,64.1,29.4,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
