rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,is_new_entry,is_exit,is_inactive,has_partial_presence,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
1.0,97.70408163265306,80.5,High Potential,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,146.2,146.2,0.0,19,0.9,2.137,False,False,False,False,70.9,10.1,High,High,GROWTH,🔥 Strong growth (146%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.9% | 🔀 Fragmented (19 competitors) | 📉 Price pressure (-53.1%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
2.0,97.70408163265306,80.5,High Potential,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,HOSPITAL,23.2,23.2,0.4,14,6.1,0.139,False,False,False,False,90.3,7.2,High,High,GROWTH,📊 Stable growth (23%) | 🎯 Niche market ($0.4M) | 🏢 Share: 6.1% | ⚔️ Competitive (14 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
3.0,97.70408163265306,80.5,High Potential,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,500.0,500.0,0.1,14,1.8,3.308,False,False,False,False,63.6,18.1,High,High,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.8% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
4.0,97.70408163265306,80.5,High Potential,JANSSEN-CILAG_TOPIRAMATE_VIETNAM,TOPIRAMATE,JANSSEN-CILAG,VIETNAM,HOSPITAL,,,0.1,7,5.8,55415958441577.76,False,False,False,False,59.4,17.6,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 5.8% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
5.0,97.70408163265306,80.5,High Potential,JANSSEN-CILAG_TOPIRAMATE_VIETNAM,TOPIRAMATE,JANSSEN-CILAG,VIETNAM,HOSPITAL,-15.0,-15.0,1.4,7,32.0,0.115,False,False,False,False,67.4,20.8,High,High,GROWTH,⚠️ Declining demand (-15%) | 🎯 Niche market ($1.4M) | 🏢 Share: 32.0% | ⚔️ Competitive (7 competitors),None identified,MONITOR
6.0,97.70408163265306,80.5,High Potential,NOVARTIS PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,NOVARTIS PHARMA,VIETNAM,HOSPITAL,-12.2,-12.2,0.4,7,8.8,0.736,False,False,False,False,84.2,23.2,High,High,GROWTH,⚠️ Declining demand (-12%) | 🎯 Niche market ($0.4M) | 🏢 Share: 8.8% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
7.0,97.70408163265306,80.5,High Potential,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,-59.5,-59.5,0.5,7,12.0,0.329,False,False,False,False,76.8,9.8,High,High,GROWTH,⚠️ Declining demand (-59%) | 🎯 Niche market ($0.5M) | 🏢 Share: 12.0% | ⚔️ Competitive (7 competitors),Market decline: losing 59% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
8.0,97.70408163265306,80.5,High Potential,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,7,0.0,4.359,False,False,False,False,59.0,11.7,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
9.0,97.70408163265306,80.5,High Potential,TORRENT_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,TORRENT,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,7,0.0,0.707,False,False,False,False,81.8,27.4,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
10.0,97.70408163265306,80.5,High Potential,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,RETAIL,,,0.0,19,0.1,18137288937434.945,False,False,False,False,70.9,21.4,Medium,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.1% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
